   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 544,        145870,           72123,            220,     19055,        1543,         47,        297022,             539,            467,    23322,       4481,        53
 545,        146583,           72478,            222,     18294,        1542,         47,        298113,             537,            467,    23375,       4494,        52
 546,        147306,           72838,            225,     18158,        1582,         47,        299206,             541,            473,    23434,       4501,        52
 547,        147337,           72852,            223,     18574,        1539,         46,        300301,             541,            476,    23472,       4510,        52
 548,        147352,           72858,            228,     18537,        1545,         44,        301398,             541,            475,    23561,       4531,        53
 549,        148201,           73281,            225,     18093,        1562,         49,        302497,             541,            477,    23557,       4528,        56
 550,        148592,           73475,            225,     20523,        1546,         49,        303598,             541,            479,    23597,       4537,        53
 551,        149139,           73747,            227,     18346,        1567,         48,        304701,             544,            479,    23639,       4541,        52
 552,        149300,           73826,            226,     17763,        1580,         46,        305806,             544,            481,    23744,       4569,        53
 553,        149687,           74018,            227,     18353,        1570,         48,        306913,             545,            485,    23811,       4585,        53
 554,        150388,           74367,            227,     17991,        1592,         52,        308022,             549,            485,    23802,       4571,        54
 555,        151353,           74848,            229,     19361,        1555,         47,        309133,             547,            486,    23795,       4568,        53
 556,        151714,           75027,            229,     19765,        1587,         48,        310246,             548,            494,    23925,       4595,        54
 557,        152801,           75569,            231,     18830,        1600,         48,        311361,             547,            489,    23984,       4614,        53
 558,        152822,           75578,            234,     18825,        1585,         47,        312478,             548,            498,    24029,       4623,        57
 559,        153927,           76129,            234,     19443,        1625,         50,        313597,             556,            494,    24016,       4614,        54
 560,        154292,           76310,            234,     19427,        1599,         49,        314718,             553,            496,    24098,       4633,        54
 561,        154701,           76513,            238,     18796,        1607,         50,        315841,             549,            495,    24206,       4658,        54
 562,        154970,           76646,            232,     18417,        1612,         46,        316966,             554,            499,    24248,       4670,        54
 563,        155529,           76924,            235,     18974,        1600,         49,        318093,             555,            504,    24166,       4642,        54
 564,        156362,           77339,            236,     19510,        1594,         48,        319222,             559,            501,    24363,       4687,        55
 565,        157429,           77871,            239,     18566,        1625,         49,        320353,             561,            504,    24318,       4672,        56
 566,        157502,           77906,            239,     18382,        1661,         50,        321486,             562,            506,    24375,       4686,        55
 567,        157957,           78132,            240,     19792,        1612,         49,        322621,             560,            507,    24445,       4702,        54
 568,        158044,           78174,            242,     18889,        1655,         49,        323758,             564,            510,    24442,       4697,        55
 569,        159071,           78686,            240,     20538,        1617,         51,        324897,             563,            516,    24609,       4731,        55
 570,        159542,           78920,            243,     20399,        1628,         50,        326038,             561,            510,    24676,       4745,        56
 571,        160413,           79354,            243,     18989,        1641,         50,        327181,             561,            515,    24670,       4748,        55
 572,        161460,           79876,            248,     19596,        1618,         48,        328326,             568,            518,    24722,       4756,        55
 573,        162177,           80233,            246,     20736,        1598,         51,        329473,             566,            520,    24866,       4791,        55
 574,        163222,           80754,            250,     20292,        1602,         49,        330622,             563,            523,    24820,       4771,        57
 575,        164139,           81211,            249,     20926,        1616,         50,        331773,             567,            522,    24818,       4772,        55
 576,        164888,           81584,            249,     20944,        1626,         50,        332926,             571,            524,    24939,       4798,        56
 577,        165923,           82100,            250,     18727,        1686,         51,        334081,             570,            524,    25063,       4823,        56
 578,        166912,           82593,            253,     18791,        1693,         51,        335238,             572,            529,    24985,       4800,        56
 579,        166961,           82616,            252,     20652,        1652,         50,        336397,             573,            530,    25069,       4814,        58
 580,        167672,           82970,            255,     20901,        1645,         49,        337558,             575,            530,    25126,       4830,        56
 581,        168189,           83227,            255,     19405,        1664,         50,        338721,             571,            532,    25144,       4833,        56
 582,        169310,           83786,            258,     19579,        1647,         49,        339886,             577,            533,    25186,       4842,        57
 583,        169885,           84072,            258,     20667,        1665,         51,        341053,             577,            535,    25254,       4857,        57
 584,        169910,           84083,            258,     19825,        1675,         51,        342222,             576,            537,    25288,       4861,        56
 585,        170249,           84251,            258,     21237,        1622,         49,        343393,             573,            539,    25333,       4869,        57
 586,        171358,           84804,            259,     20174,        1687,         52,        344566,             578,            541,    25449,       4896,        58
 587,        171719,           84983,            261,     19628,        1698,         51,        345741,             579,            546,    25494,       4905,        58
 588,        172332,           85288,            261,     20356,        1711,         50,        346918,             582,            548,    25530,       4908,        58
 589,        172523,           85382,            262,     20957,        1662,         50,        348097,             583,           1150,    25653,       4937,        63
 590,        173686,           85962,            261,     21379,        1658,         57,        349278,             584,            555,    25679,       4943,        62
 591,        174375,           86305,            273,     19968,        1694,         54,        350461,             586,            553,    25755,       4956,        60
 592,        175466,           86849,            265,     19994,        1688,         53,        351646,             583,            556,    25763,       4954,        60
 593,        176639,           87434,            267,     20080,        1712,         52,        352833,             586,            556,    25751,       4951,        59
 594,        177814,           88020,            270,     20111,        1690,         57,        354022,             590,            563,    25888,       4980,        65
 595,        178297,           88260,            269,     19890,        1740,         63,        355213,             590,            599,    25872,       4976,        62
 596,        178786,           88503,            273,     20405,        1725,         59,        356406,             587,            608,    25991,       5002,        62
 597,        179687,           88952,            273,     20180,        1704,         54,        357601,             590,            561,    26030,       5012,        61
 598,        179816,           89015,            272,     20211,        1701,         52,        358798,             591,            607,    26046,       5008,        62
 599,        180897,           89554,            274,     19596,        1747,         55,        359997,             592,            565,    26099,       5016,        62
 600,        181276,           89742,            274,     20732,        1764,         54,        361198,             594,            568,    26215,       5045,        62
 601,        181513,           89859,            275,     20109,        1749,         55,        362401,             594,            570,    26194,       5035,       433
 602,        182616,           90409,            277,     20116,        1758,         57,        363606,             597,            577,    26302,       5060,        61
 603,        182947,           90573,            278,     20604,        1758,         56,        364813,             596,            607,    26248,       5046,        61
 604,        183674,           90935,            274,     20048,        1737,         55,        366022,             601,            577,    26351,       5071,        61
 605,        183861,           91027,            279,     20357,        1732,         53,        367233,             599,            608,    26508,       5103,        60
 606,        184580,           91385,            279,     21333,        1692,         53,        368446,             599,            578,    26494,       5098,        61
