     n, heap_cmp, heap_swaps, heap_time
 71606,  5580507,    1091816,      8694
 71607,  5580320,    1091765,      8767
 71608,  5580835,    1091935,      9498
 71609,  5580890,    1091936,      8187
 71610,  5580321,    1091779,      8303
 71611,  5580647,    1091773,      8706
 71612,  5581244,    1091957,      8604
 71613,  5580295,    1091705,      8718
 71614,  5580271,    1091707,      8142
 71615,  5581520,    1092034,      8215
 71616,  5581029,    1091913,     10022
 71617,  5581606,    1092057,      7615
 71618,  5581147,    1091948,      9436
 71619,  5581657,    1092051,      8047
 71620,  5581499,    1091990,      8476
 71621,  5581691,    1092043,      7611
 71622,  5582274,    1092204,      8592
 71623,  5581622,    1092018,      8229
 71624,  5581351,    1091913,      8726
 71625,  5582024,    1092136,     10353
 71626,  5582066,    1092139,      7869
 71627,  5582751,    1092290,      8201
 71628,  5582580,    1092251,      8328
 71629,  5582051,    1092114,      7660
 71630,  5582581,    1092211,      9669
 71631,  5581897,    1092079,      8316
 71632,  5581961,    1092097,      8122
 71633,  5583057,    1092339,      9480
 71634,  5582811,    1092260,      8073
 71635,  5582063,    1092104,     10113
 71636,  5582631,    1092182,      7787
 71637,  5582986,    1092304,      8594
 71638,  5583196,    1092331,      7555
 71639,  5582809,    1092217,     10735
 71640,  5583121,    1092269,     16926
 71641,  5583315,    1092336,      7578
 71642,  5582990,    1092247,      8134
 71643,  5583275,    1092335,      7584
 71644,  5583641,    1092459,      8383
 71645,  5583645,    1092432,      7570
 71646,  5584220,    1092520,      9803
 71647,  5583524,    1092368,      7683
 71648,  5583604,    1092379,     13822
 71649,  5584318,    1092574,     17620
 71650,  5584461,    1092583,     14028
 71651,  5584057,    1092458,      7592
 71652,  5583685,    1092413,      9018
 71653,  5584645,    1092591,      7572
 71654,  5584268,    1092558,      9322
 71655,  5584577,    1092569,      7621
 71656,  5584552,    1092599,     19868
 71657,  5584981,    1092682,      7596
 71658,  5584765,    1092621,      8723
 71659,  5585686,    1092821,      8185
 71660,  5584963,    1092682,      8652
 71661,  5585436,    1092782,      8074
 71662,  5585510,    1092831,      8619
 71663,  5585357,    1092743,      7579
 71664,  5585702,    1092816,      8373
 71665,  5585490,    1092785,      7583
 71666,  5585292,    1092799,      8327
 71667,  5585291,    1092716,      7574
 71668,  5585772,    1092789,      8255
 71669,  5585869,    1092858,      7579
 71670,  5586573,    1093051,      9058
 71671,  5585862,    1092826,      7565
 71672,  5587234,    1093191,      8539
 71673,  5585331,    1092707,      7575
 71674,  5585579,    1092786,      7840
 71675,  5586521,    1093016,      8709
 71676,  5586158,    1092912,      9712
 71677,  5586097,    1092883,      7575
 71678,  5587211,    1093181,      8063
 71679,  5586888,    1093077,      7998
 71680,  5587191,    1093164,     11737
 71681,  5587234,    1093149,      9597
 71682,  5587301,    1093166,     10786
 71683,  5587041,    1093077,      7584
 71684,  5587409,    1093150,      7912
 71685,  5587206,    1093135,      7836
 71686,  5586619,    1092932,      9266
 71687,  5587368,    1093158,      7584
 71688,  5586727,    1092986,     10026
 71689,  5586363,    1092867,      8812
 71690,  5588049,    1093269,      9773
 71691,  5586931,    1093042,      7559
 71692,  5587857,    1093219,      7596
 71693,  5587701,    1093179,      7630
 71694,  5587734,    1093206,      7666
 71695,  5588467,    1093394,      7771
 71696,  5588595,    1093403,      9271
 71697,  5589043,    1093513,      7593
 71698,  5588994,    1093526,      7587
 71699,  5587808,    1093201,      7574
 71700,  5588658,    1093394,      9342
 71701,  5587826,    1093175,      7817
 71702,  5588772,    1093425,      8822
 71703,  5588649,    1093409,      7719
 71704,  5588335,    1093350,      7714
 71705,  5589124,    1093490,      7654
 71706,  5589120,    1093499,      8252
 71707,  5589278,    1093536,      7746
 71708,  5589378,    1093558,     16780
 71709,  5589040,    1093472,      9554
 71710,  5590056,    1093730,      7653
 71711,  5589306,    1093538,      7846
 71712,  5589369,    1093542,      7643
 71713,  5589856,    1093673,      8730
 71714,  5589303,    1093522,      7580
 71715,  5590005,    1093673,      8905
 71716,  5589606,    1093555,      7583
 71717,  5590058,    1093660,      7736
 71718,  5591030,    1093883,      7561
 71719,  5590680,    1093770,      7985
 71720,  5590620,    1093851,      7586
 71721,  5590760,    1093825,      8104
 71722,  5589700,    1093587,      7573
 71723,  5590958,    1093869,      8721
 71724,  5590566,    1093811,      7579
 71725,  5589489,    1093535,      7656
 71726,  5590334,    1093716,      7606
 71727,  5590188,    1093670,      7602
 71728,  5590427,    1093696,      8177
 71729,  5590337,    1093671,      7617
 71730,  5591297,    1093985,      8966
 71731,  5590246,    1093653,      7573
 71732,  5591062,    1093874,      7673
 71733,  5590754,    1093788,      7585
 71734,  5591345,    1093934,      8002
 71735,  5591226,    1093872,      7586
 71736,  5590508,    1093702,      8069
 71737,  5591853,    1094047,      7576
 71738,  5591950,    1094040,      7609
 71739,  5591768,    1093990,      7578
 71740,  5592095,    1094111,      9156
 71741,  5591691,    1093986,      7563
 71742,  5591972,    1094057,      8571
 71743,  5592083,    1094097,      8160
 71744,  5591303,    1093875,      8170
 71745,  5592005,    1094024,      8587
 71746,  5591847,    1093995,      7992
 71747,  5591534,    1093897,      7608
 71748,  5592864,    1094204,      8093
 71749,  5593409,    1094369,      7567
 71750,  5591825,    1093959,      8506
 71751,  5592872,    1094231,      7607
 71752,  5592701,    1094196,      8082
 71753,  5592386,    1094061,      7579
 71754,  5592191,    1094050,      8060
 71755,  5592817,    1094210,      8278
 71756,  5593035,    1094256,      7595
 71757,  5594315,    1094533,      8137
 71758,  5594223,    1094517,      7902
 71759,  5593020,    1094219,      8864
 71760,  5592764,    1094172,      7610
 71761,  5593751,    1094399,      7600
 71762,  5593889,    1094473,      7581
 71763,  5593743,    1094391,      7568
 71764,  5593772,    1094367,      7553
 71765,  5593703,    1094386,      7675
 71766,  5594367,    1094560,     10889
 71767,  5594238,    1094462,      8931
 71768,  5593796,    1094381,     10603
 71769,  5595161,    1094728,      9248
 71770,  5594650,    1094592,      9468
 71771,  5594304,    1094506,      9737
 71772,  5594910,    1094666,      7784
 71773,  5594847,    1094618,      9693
 71774,  5594939,    1094724,      9873
 71775,  5595271,    1094656,     10727
 71776,  5594208,    1094423,      8623
 71777,  5595112,    1094694,      9545
 71778,  5594294,    1094451,      8528
 71779,  5595590,    1094744,     12039
 71780,  5595350,    1094760,      7631
 71781,  5595549,    1094797,      8533
 71782,  5595109,    1094633,      7643
 71783,  5594451,    1094495,      8948
 71784,  5595510,    1094721,      7633
 71785,  5595435,    1094657,     10912
 71786,  5595701,    1094768,      8189
 71787,  5596302,    1094921,      7578
 71788,  5594907,    1094584,      7623
 71789,  5596797,    1095034,      7645
 71790,  5596647,    1094989,      7581
 71791,  5596332,    1094891,     18542
 71792,  5596508,    1094943,      8626
 71793,  5596063,    1094850,      8497
 71794,  5596316,    1094914,      7607
 71795,  5595931,    1094818,      7685
 71796,  5597317,    1095128,      7616
 71797,  5596821,    1094993,      7593
 71798,  5597090,    1095099,      9473
 71799,  5597259,    1095125,      8991
 71800,  5597132,    1095043,      8747
