  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 83,          3953,            1855,            246,      1794,         186,         16,          7053,              79,            157,     2401,        450,        18
 84,          3964,            1859,            241,      1872,         196,         18,          7222,              79,             42,     2453,        462,        25
 85,          4055,            1903,            264,      1886,         190,         16,          7393,              79,            132,     2508,        474,        23
 86,          4110,            1929,            125,      1944,         188,         15,          7566,              81,             42,     2515,        472,        24
 87,          4201,            1973,             35,      1974,         193,         16,          7741,              83,             43,     2581,        486,        23
 88,          4280,            2011,             70,      2080,         201,         37,          7918,              85,            266,     2614,        494,        23
 89,          4353,            2046,            187,      2190,         204,         17,          8097,              84,             45,     2639,        497,        21
 90,          4464,            2100,             31,      2050,         205,         15,          8278,              87,            172,     2695,        509,        24
 91,          4491,            2112,             31,      2260,         211,         20,          8461,              85,             47,     2722,        513,        26
 92,          4520,            2125,             31,      2177,         215,         16,          8646,              88,            178,     2767,        522,        29
 93,          4607,            2167,            179,      2072,         217,         34,          8833,              88,             92,     2780,        524,        25
 94,          4688,            2206,             33,      2091,         226,          7,          9022,              89,             50,     2823,        531,        25
 95,          4705,            2213,             33,      2365,         213,          9,          9213,              92,            180,     2867,        540,        26
 96,          4858,            2288,            290,      2243,         222,          9,          9406,              93,             52,     2904,        547,        28
 97,          4943,            2329,             35,      2250,         219,          8,          9601,              92,            197,     2954,        558,        27
 98,          5136,            2424,             36,      2262,         225,          8,          9798,              90,             54,     2992,        565,        26
 99,          5307,            2508,             97,      2313,         228,          8,          9997,              94,            138,     3025,        571,        28
100,          5432,            2569,             38,      2309,         232,          8,         10198,              97,             56,     3059,        578,        35
