   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
317,1248,150,8,6072,452,11,101121,90,159,13149,2558,21
318,1253,151,8,6111,458,9,101758,91,159,13188,2565,21
319,1260,153,8,6085,454,11,102397,91,161,13226,2571,21
320,1269,156,8,6115,457,10,103038,92,165,13280,2581,23
321,1272,156,8,6154,461,11,103681,92,163,13316,2587,23
322,1275,156,8,6178,463,10,104326,92,164,13371,2599,23
323,1278,156,9,6165,463,10,104973,92,165,13429,2610,22
324,1281,156,8,6136,455,10,105622,92,164,13499,2626,23
325,1286,157,8,6226,461,11,106273,93,167,13537,2634,23
326,1289,157,8,6296,478,10,106926,93,170,13588,2643,24
327,1292,157,8,6269,468,11,107581,93,171,13635,2652,23
328,1297,158,8,6302,472,9,108238,94,169,13701,2665,26
329,1300,158,8,6318,469,12,108897,94,170,13718,2666,23
330,1303,158,8,6280,463,11,109558,94,174,13800,2684,24
331,1308,159,19,6306,464,32,110221,95,348,13836,2692,64
332,1313,160,21,6363,470,24,110886,96,357,13893,2703,61
333,1322,163,18,6431,480,25,111553,95,360,13933,2710,54
334,1325,163,17,6441,480,25,112222,95,354,13998,2724,53
335,1328,163,17,6467,480,24,112893,95,278,14037,2731,26
336,1331,163,8,6476,482,11,113566,95,179,14100,2744,26
337,1334,163,9,6422,469,14,114241,95,181,14146,2752,27
338,1337,163,9,6524,483,12,114918,95,181,14173,2755,26
339,1340,163,8,6518,481,12,115597,95,183,14228,2768,25
340,1345,164,9,6530,482,10,116278,96,184,14297,2783,25
341,1350,165,8,6618,495,12,116961,97,185,14351,2794,25
342,1353,165,9,6629,495,11,117646,97,184,14391,2800,25
343,1356,165,9,6656,494,13,118333,97,184,14471,2818,25
344,1359,165,9,6669,496,11,119022,97,190,14483,2816,26
345,1366,167,9,6647,493,12,119713,99,189,14536,2827,26
346,1371,168,9,6682,498,11,120406,100,190,14595,2839,25
347,1382,172,13,6727,498,13,121101,100,213,14639,2847,25
348,1385,172,12,6743,499,11,121798,100,192,14700,2860,25
349,1388,172,9,6749,495,12,122497,100,193,14736,2866,25
350,1391,172,9,6771,497,11,123198,100,195,14797,2879,26
351,1396,173,9,6747,494,13,123901,101,196,14822,2882,25
352,1401,174,9,6783,497,10,124606,102,197,14880,2893,26
353,1404,174,9,6843,503,12,125313,102,198,14933,2904,27
354,1407,174,11,6872,506,10,126022,102,199,14997,2919,30
355,1410,174,9,6842,499,12,126733,102,200,15031,2923,26
356,1413,174,9,6828,494,11,127446,102,201,15103,2939,27
357,1418,175,9,6894,508,12,128161,103,202,15119,2940,26
358,1421,175,9,6944,512,12,128878,103,203,15192,2956,26
359,1424,175,9,6946,506,12,129597,103,203,15224,2961,26
360,1427,175,9,6993,514,11,130318,103,210,15278,2971,28
361,1432,176,9,6999,512,12,131041,104,207,15323,2979,28
362,1439,178,9,7013,511,12,131766,104,208,15378,2990,27
363,1442,178,9,7034,516,12,132493,104,210,15468,3012,28
364,1451,181,140,7054,516,11,133222,107,211,15508,3020,27
365,1454,181,9,7173,530,13,133953,107,215,15533,3022,28
366,1457,181,10,7182,530,12,134686,107,212,15610,3040,28
367,1460,181,9,7142,526,12,135421,107,214,15636,3043,28
368,1465,182,9,7169,527,11,136158,108,218,15664,3047,28
369,1470,183,9,7175,527,13,136897,109,216,15703,3054,28
370,1473,183,9,7169,525,12,137638,109,216,15788,3073,28
371,1476,183,10,7247,533,12,138381,109,220,15830,3082,29
372,1479,183,9,7261,533,11,139126,109,220,15886,3092,29
373,1484,184,10,7300,534,13,139873,110,220,15923,3097,28
374,1487,184,9,7320,534,11,140622,110,707,15979,3111,37
375,1490,184,12,7319,529,34,141373,110,361,16034,3122,68
376,1495,185,4,7338,530,20,142126,111,227,16065,3125,61
377,1502,187,3,7403,534,14,142881,111,226,16112,3134,32
378,1511,190,2,7439,538,13,143638,112,227,16169,3145,31
379,1516,191,2,7461,542,14,144397,113,230,16237,3160,32
380,1519,191,2,7471,542,12,145158,113,229,16292,3172,31
381,1522,191,2,7486,552,14,145921,113,231,16327,3178,30
382,1527,192,2,7504,552,16,146686,114,232,16379,3187,31
383,1530,192,2,7488,547,12,147453,114,254,16451,3204,31
384,1537,194,2,7485,543,12,148222,116,237,16478,3208,31
385,1540,194,2,7519,543,14,148993,116,236,16553,3224,32
386,1543,194,2,7560,549,13,149766,116,239,16578,3227,32
387,1546,194,2,7640,551,13,150541,116,238,16599,3230,31
388,1549,194,2,7657,553,12,151318,116,239,16679,3249,33
389,1554,195,2,7640,554,13,152097,117,243,16722,3255,30
390,1561,197,2,7649,555,12,152878,117,243,16780,3267,29
391,1564,197,2,7697,562,14,153661,117,244,16840,3280,29
392,1569,198,2,7750,570,18,154446,118,245,16889,3289,30
393,1572,198,2,7738,557,13,155233,118,246,16914,3293,30
394,1575,198,2,7754,562,12,156022,118,249,16981,3306,30
395,1580,199,2,7718,556,13,156813,119,248,17031,3315,30
396,1583,199,2,7763,560,12,157606,119,250,17085,3327,30
397,1586,199,2,7778,559,13,158401,119,253,17125,3334,31
398,1589,199,2,7823,565,13,159198,119,253,17188,3348,31
399,1594,200,2,7953,585,14,159997,120,254,17215,3351,30
400,1597,200,2,7976,586,12,160798,120,257,17274,3363,32
401,1600,200,2,7983,592,13,161601,120,256,17307,3370,32
402,1605,201,2,7977,587,11,162406,121,257,17401,3391,32
403,1610,202,2,7990,581,12,163213,122,258,17430,3395,33
404,1619,205,2,7970,573,12,164022,121,260,17488,3407,31
405,1622,205,2,7993,579,13,164833,121,262,17526,3413,31
406,1625,205,2,8059,589,12,165646,121,262,17568,3421,32
407,1628,205,2,8139,596,15,166461,121,264,17620,3431,31
408,1631,205,2,8173,599,12,167278,121,418,17660,3438,82
409,1634,205,8,8119,580,40,168097,121,384,17697,3446,38
410,1637,205,3,8126,579,15,168918,121,268,17771,3462,36
411,1644,207,3,8170,593,16,169741,123,269,17805,3468,36
412,1653,210,2,8200,592,17,170566,124,270,17862,3479,34
413,1656,210,2,8243,598,16,171393,124,271,17934,3495,35
414,1659,210,2,8253,598,14,172222,124,275,17973,3500,35
415,1662,210,2,8248,593,14,173053,124,274,18010,3508,34
416,1665,210,2,8257,593,13,173886,124,276,18089,3524,54
417,1668,210,2,8317,600,15,174721,124,284,18142,3536,93
418,1671,210,2,8339,600,14,175558,124,278,18197,3547,35
419,1676,211,2,8367,603,15,176397,125,283,18203,3544,34
420,1679,211,2,8427,611,13,177238,125,281,18275,3561,34
421,1682,211,2,8365,596,14,178081,125,282,18321,3570,34
422,1685,211,2,8414,608,17,178926,125,283,18368,3579,33
423,1690,212,2,8487,614,15,179773,126,285,18415,3587,34
424,1693,212,2,8497,613,13,180622,126,328,18478,3600,34
425,1696,212,2,8499,613,13,181473,126,288,18524,3608,33
426,1699,212,2,8509,614,13,182326,126,289,18581,3620,37
427,1702,212,2,8524,615,15,183181,126,290,18621,3628,34
428,1707,213,2,8558,618,14,184038,127,292,18662,3635,33
429,1710,213,2,8541,606,14,184897,127,296,18705,3643,33
430,1713,213,2,8592,618,14,185758,127,295,18767,3656,33
431,1716,213,2,8584,613,15,186621,127,295,18799,3661,34
432,1719,213,2,8644,620,13,187486,127,297,18842,3668,34
433,1724,214,2,8666,626,16,188353,128,301,18889,3678,35
434,1727,214,2,8687,627,12,189222,128,300,18950,3690,34
435,1730,214,2,8727,631,15,190093,128,301,19007,3703,35
436,1733,214,2,8683,619,14,190966,128,303,19040,3708,73
437,1736,214,2,8786,633,15,191841,128,304,19113,3724,34
438,1739,214,2,8813,634,14,192718,128,309,19151,3730,35
439,1742,214,2,8760,627,15,193597,128,307,19212,3742,34
440,1745,214,2,8741,623,14,194478,128,310,19237,3745,35
441,1752,216,2,8931,644,16,195361,130,309,19280,3754,35
442,1755,216,2,8974,647,13,196246,130,311,19351,3768,35
443,1758,216,2,8832,629,17,197133,130,313,19403,3779,35
444,1761,216,2,8842,629,13,198022,130,314,19451,3788,35
445,1764,216,2,8897,635,15,198913,130,319,19517,3803,34
446,1767,216,2,8937,639,15,199806,130,317,19543,3806,34
447,1770,216,2,8974,641,16,200701,130,337,19603,3820,62
448,1773,216,2,8996,644,15,201598,130,320,19660,3830,38
449,1776,216,2,8984,641,14,202497,130,323,19687,3834,70
450,1781,217,5,9053,648,32,203398,131,576,19760,3850,68
451,1788,219,5,9086,647,29,204301,131,579,19799,3856,63
452,1791,219,4,9085,650,24,205206,131,392,19860,3870,33
453,1794,219,2,9088,649,15,206113,131,326,19909,3880,32
454,1797,219,2,9140,656,13,207022,131,330,19970,3893,31
455,1802,220,2,9131,646,16,207933,132,330,20023,3902,31
456,1805,220,2,9154,647,13,208846,132,331,20061,3908,32
457,1808,220,2,9113,639,16,209761,132,332,20103,3917,30
458,1811,220,2,9131,639,13,210678,132,334,20164,3929,30
459,1816,221,2,9268,664,15,211597,133,338,20212,3937,30
460,1821,222,2,9235,659,14,212518,134,337,20273,3950,29
461,1828,224,2,9282,655,15,213441,134,339,20317,3959,28
462,1831,224,2,9297,659,14,214366,134,340,20349,3964,29
463,1834,224,2,9321,658,14,215293,134,343,20407,3976,30
464,1837,224,2,9312,654,14,216222,134,343,20461,3989,30
465,1840,224,2,9280,647,15,217153,134,344,20496,3994,29
466,1843,224,2,9362,660,14,218086,134,346,20561,4007,30
467,1846,224,2,9428,670,15,219021,134,347,20597,4013,30
468,1849,224,2,9450,673,14,219958,134,350,20638,4019,30
469,1852,224,2,9418,661,14,220897,134,351,20704,4035,29
470,1855,224,2,9444,660,14,221838,134,354,20766,4047,29
471,1860,225,2,9467,663,15,222781,135,354,20817,4057,30
472,1865,226,2,9495,664,13,223726,136,357,20857,4065,29
473,1868,226,2,9488,661,16,224673,136,356,20909,4074,30
474,1871,226,2,9507,660,14,225622,136,356,20954,4084,30
